"id_norma_modificatoria","id_norma_modificada","tipo_norma","nro_norma","clase_norma","organismo_origen","fecha_boletin","titulo_sumario","titulo_resumido"
"375073","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375074","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375075","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375076","181120","Resolución","322","","AUTORIDAD FEDERAL DE SERVICIOS DE COMUNICACION AUDIOVISUAL","2011-04-13","AUTORIDAD FEDERAL DE SERVICIOS DE COMUNICACION AUDIOVISUAL","MUNICIPIOS DE LA PROVINCIA DE BUENOS AIRES - ASIGNACION DE FRECUENCIAS"
"375077","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375078","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375082","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375083","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375085","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375091","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375098","313035","Resolución","4789","Sintetizada","ENTE NACIONAL DE COMUNICACIONES","2018-08-02","ENTE NACIONAL DE COMUNICACIONES","GUSTAVO HUGO REMONDINO"
"375100","349934","Resolución","118","Sintetizada","SECRETARIA GENERAL","2021-05-17","SERVICIOS ADUANEROS","SINTETIZADA"
"375101","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375105","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375110","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375111","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375112","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375113","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375115","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375116","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375117","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375121","352704","Decreto","496","","PODER EJECUTIVO NACIONAL (P.E.N.)","2021-08-09","AGENCIA NACIONAL DE MATERIALES CONTROLADOS","DESIGNACION"
"375122","19442","Ley","19945","","PODER EJECUTIVO NACIONAL (P.E.N.)","1972-12-19","CODIGO ELECTORAL NACIONAL","SU APROBACION"
"375123","336654","Resolución","344","","MINISTERIO DE TRABAJO, EMPLEO Y SEGURIDAD SOCIAL","2020-04-23","MINISTERIO DE TRABAJO, EMPLEO Y SEGURIDAD SOCIAL","CELEBRACION DE AUDIENCIAS Y ACTUACIONES ADMINISTRATIVAS - PLATAFORMAS VIRTUALES"
"375124","475","Ley","24076","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1992-06-12","GAS NATURAL","MARCO REGULATORIO - PRIVATIZACION GAS DEL ESTADO"
"375124","74907","Resolución","2603","","ENTE NACIONAL REGULADOR DEL GAS","2002-06-06","GAS NATURAL COMPRIMIDO","EQUIPOS DE GNC - PROCEDIMIENTO"
"375126","32778","Ley","19331","","PODER EJECUTIVO NACIONAL (P.E.N.)","1971-11-09","INSTITUTO DE ACCION MUTUAL","CREACION INAM"
"375126","25392","Ley","20321","","PODER EJECUTIVO NACIONAL (P.E.N.)","1973-05-10","REGIMEN","ASOCIACIONES MUTUALES"
"375126","18462","Ley","20337","","PODER EJECUTIVO NACIONAL (P.E.N.)","1973-05-15","COOPERATIVAS","NUEVO REGIMEN"
"375126","36549","Decreto","420","","PODER EJECUTIVO NACIONAL (P.E.N.)","1996-04-22","INSTITUTO NACIONAL DE ACCION COOPERATIVA Y MUTUAL","CREACION"
"375127","369407","Resolución","207","","INSTITUTO NACIONAL DE LA MUSICA","2022-08-09","INSTITUTO NACIONAL DE LA MUSICA","CONVOCATORIA DE FOMENTO 2022 - LLAMADO"
"375128","366439","Resolución","104","","SECRETARIA DE GESTION Y EMPLEO PUBLICO","2022-06-14","JEFATURA DE GABINETE DE MINISTROS","COBERTURA DE CARGOS - INICIESE PROCESO"
